Lpl,Ltr,Fed,m,n,u,Rz_palo,Rz_gr,K_palo,Kw
3.53,5.67,1336.4189964156,0.0023227,0.0006304,0.007187481157,1048.70268820466,14.374962314,145906.843482061,2000
3.53,5.67,1336.41900459706,0.001585,0.0005615,0.004983360523,1136.93408618927,9.966721046,228146.063473013,2000
