Lpl,Ltr,Fed,m,n,u,Rz_palo,Rz_gr,K_palo,Kw
4.35,4.84,1398.76000171446,0.0023227,0.0006304,0.007718637009,1073.74363453949,15.437274018,139110.52343665,2000
4.35,4.84,1398.75999729819,0.001585,0.0005615,0.005415573414,1170.72103198148,10.831146828,216176.744821703,2000
